S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
135,Killeen,"Killeen, Texas",2/22/2015,,,random,,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself. ",4,1,4,0,,1,Fort Hood,No,Black American or African American,Male,31.07925506,-97.73392317
136,Chapel Hill,"Chapel Hill, North Carolina",2/10/2015,Home,Close,neighbors,anger,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",3,0,3,0,,,,No,White American or European American,Male,35.92681467,-79.03850407
137,Moon Lake,"New Port Richey, Florida",2/9/2015,Home,Close,random,terrorism,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",3,1,4,0,,,,No,White American or European American/Some other Race,Male/Female,28.24653304,-82.71690259
138,Monroeville Macy's,"Monroeville, Pennsylvania",2/7/2015,Shopping Mall,Close,random,,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",0,3,3,0,,,,No,Black American or African American,Male,40.4257455,-79.76092565
139,Douglasville,"Douglasville, Georgia",2/7/2015,Home,Close,Family,psycho,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",5,2,6,0,,,,No,Black American or African American,Male,33.71059292,-84.71564276
140,"King, North Carolina","King, North Carolina",2/4/2015,,,random,psycho,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",4,0,3,0,,,,Unknown,White American or European American,Male,36.27617912,-80.35501402
141,McAvan's Pub,"Syracuse, New York",2/1/2015,Pub,Close,Ex-Girlfriend & Family,revenge,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",0,6,6,0,,,,No,Black American or African American,Male,43.04093416,-76.14376763
142,LaGrange,"LaGrange, Georgia",1/28/2015,Home,Close,Family,psycho,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",5,0,5,0,,,,No,White American or European American,Male,33.03607062,-85.0287065
143,Queens,"New York City, New York",1/24/2015,Home,Close,Family,psycho,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",4,1,4,0,,,,No,Black American or African American,Male,40.68996411,-73.8720502
144,Omaha,"Omaha, Nebraska",1/24/2015,Party Outside Home,Open,random,terrorism,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",3,5,8,0,,,,No,Black American or African American,Male,41.265922,-96.05381421
145,Moscow,"Moscow, Idaho",1/10/2015,Home+Restaurant,Close,random,psycho,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",3,1,4,0,,,,No,Asian American,Male,46.73059479,-116.9990042
146,Memphis,"Memphis, Tennessee",1/1/2015,,Open,party guests,anger,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",0,5,5,0,,,,No,Black American or African American,Male,35.10528976,-89.97734924
147,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/2014,Multiple Homes,Close,Ex-Wife & Family,psycho,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",7,1,7,0,,,,Yes,White American or European American,Male,40.39359306,-75.49640881
148,Morgantown,"Morgantown, West Virginia",12/1/2014,Multiple Homes,Close,Ex-Girlfriend+random,psycho,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",5,0,4,0,,,,No,White American or European American,Male,39.63400851,-79.94839325
149,Florida State University,"Tallahassee, Florida",11/19/2014,Florida State University,Open,random,terrorism,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",1,3,3,0,,,,Yes,Black American or African American,Male,30.4549394,-84.25264151
